                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.77595,                0.52348,                 1.2067,                0.94092,                0.86798,                0.92718,                0.67577,                 1.0028,                0.58786,                 1.5016,                0.00092,                0.00092,                0.00092
                     82,                0.76338,                0.52346,                 1.1948,                0.92485,                0.88819,                0.92053,                0.67381,                0.99591,                 0.5782,                 1.4718,             0.00091588,             0.00091588,             0.00091588
                     83,                0.75078,                0.51059,                 1.1941,                 0.9549,                0.87213,                0.91886,                0.67378,                 1.0005,                0.59393,                 1.4743,             0.00091175,             0.00091175,             0.00091175
                     84,                0.78058,                0.52602,                 1.2002,                0.92401,                0.87451,                0.92535,                0.66777,                 1.0255,                0.59698,                 1.4878,             0.00090763,             0.00090763,             0.00090763
                     85,                0.76224,                0.51764,                 1.1958,                0.93148,                0.89564,                0.92961,                0.68228,                 1.0159,                0.57897,                 1.4718,              0.0009035,              0.0009035,              0.0009035
                     86,                0.74939,                0.51005,                 1.1772,                0.94897,                0.89639,                0.93612,                0.68104,                0.99278,                0.53973,                 1.4868,             0.00089938,             0.00089938,             0.00089938
                     87,                0.77522,                0.53441,                 1.2043,                0.92424,                0.88165,                 0.9364,                0.68527,                0.98781,                0.55809,                 1.4628,             0.00089525,             0.00089525,             0.00089525
                     88,                0.72669,                0.51478,                  1.186,                0.93817,                  0.861,                0.92281,                0.68177,                 1.0049,                0.57385,                 1.4823,             0.00089112,             0.00089112,             0.00089112
                     89,                0.75884,                0.51792,                 1.1929,                0.89942,                 0.9041,                0.93309,                  0.678,                0.97873,                0.53682,                 1.4631,               0.000887,               0.000887,               0.000887
                     90,                 0.7574,                0.51644,                 1.1884,                 0.9595,                0.87861,                0.93054,                 0.6909,                0.96882,                0.56575,                 1.4871,             0.00088288,             0.00088288,             0.00088288
                     91,                0.74846,                0.49127,                 1.1845,                0.96272,                0.87248,                0.93089,                0.69335,                0.99987,                0.57304,                 1.4709,             0.00087875,             0.00087875,             0.00087875
                     92,                0.73799,                0.51133,                 1.1833,                0.94683,                0.87069,                0.91336,                0.66434,                 1.0371,                0.59852,                 1.5162,             0.00087462,             0.00087462,             0.00087462
                     93,                0.74627,                0.50461,                 1.1836,                0.95301,                0.85894,                0.91512,                0.67942,                 1.0211,                0.57136,                 1.5345,              0.0008705,              0.0008705,              0.0008705
                     94,                0.76038,                0.52295,                 1.1887,                0.93633,                0.88606,                0.93297,                0.69216,                0.99961,                0.56131,                 1.4841,             0.00086637,             0.00086637,             0.00086637
                     95,                0.72733,                0.50052,                 1.1724,                0.94004,                0.88796,                0.92564,                0.68271,                0.99827,                0.55458,                 1.4836,             0.00086225,             0.00086225,             0.00086225
                     96,                0.75072,                0.51515,                 1.1697,                0.95014,                0.91209,                 0.9323,                0.68805,                0.98698,                0.53446,                 1.4822,             0.00085813,             0.00085813,             0.00085813
                     97,                0.73525,                0.49794,                  1.173,                0.92368,                0.90865,                0.93719,                0.69543,                 0.9978,                0.54688,                 1.4864,               0.000854,               0.000854,               0.000854
                     98,                0.72777,                0.49884,                 1.1766,                0.96184,                0.88471,                0.93717,                0.69191,                0.99801,                0.56556,                 1.4798,             0.00084988,             0.00084988,             0.00084988
                     99,                0.73743,                0.50438,                 1.1749,                0.92293,                 0.8805,                0.92964,                0.68285,                 1.0118,                0.54579,                 1.4921,             0.00084575,             0.00084575,             0.00084575
                    100,                0.69904,                0.48526,                   1.17,                0.96373,                0.89386,                0.93305,                0.69632,                0.99225,                0.53892,                 1.4943,             0.00084162,             0.00084162,             0.00084162
                    101,                 0.7322,                0.49048,                 1.1713,                0.93988,                0.85978,                0.92723,                0.68682,                0.96351,                0.55712,                 1.4488,              0.0008375,              0.0008375,              0.0008375
                    102,                0.73831,                0.50268,                 1.1763,                0.95782,                0.88715,                 0.9363,                0.68011,                0.98828,                0.54299,                 1.4627,             0.00083337,             0.00083337,             0.00083337
                    103,                0.71911,                0.47565,                 1.1624,                0.95914,                0.86748,                0.93116,                0.67427,                 1.0416,                0.57813,                 1.5228,             0.00082925,             0.00082925,             0.00082925
